Group,Sample ID,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,ssWheel Number,ssDate,ssSample mass for analysis,ssSpike mass for analysis,,Stable Sr,ssInternal Precision,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Ca ppm,Sr ppm ,Mg ppm,Mn ppb,Rb ppb,d13c,d18o,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
CuCap,MM1,316.1,,,W688,8/21/18,,0.70663,0.000008,,,,,,,,,,W836,7/15/2019,,,,0.472,0.0080500,W816,6/7/19,0.4719076,0.008049118,,,,,0.0737,0.57576,,922,10/29/20,-0.269,0.02387,,,,,,,,,,,,250435.52,1254.49,4696.25,21.55,0.12,7.74,-5.79,,51.74,,,
CuCap,MM2,275.1,,,W688,8/21/18,,0.70649,0.000006,,,,,,,,,,W745,12/12/2018,,,,0.356,0.0066410,,,,,,,,,0.08845,0.59795,,986,8/3/2021,-0.887,0.02219,,,,,,,,,,,,387789.34,1383.95,2944.43,36.36,0.08,5.93,-2.34,31.18,27.03,4.15,26.72,
CuCap,MM3,287.9,,,W688,8/21/18,,0.70652,0.000005,,,,,,,,,,W745,12/12/2018,,,,0.465,0.0080730,,,,,,,,,0.05282,0.59023,,922,10/29/20,-0.718,0.02029,,,,,,,,,,,,223712.00,463.96,2038.25,115.13,2.02,5.57,-5.86,32.92,30.16,2.76,24.64,
CuCap,MM4,218.3,,8/1/19,W688,8/21/18,,0.70670,0.000007,,,,,,,,,,W863_W864_W865,9/16/2019,0.14128,0.59125,,0.182,0.0084140,W816,6/7/19,0.2079268,0.007646507,W887,3/16/20,0.19577778,0.00770047,0.13419,0.58501,,980,7/8/21,-0.520,0.02327,,986,8/3/21,-0.51118,0.02248,,,,,,,161547.15,1864.59,52147.85,110.97,2.08,-2.18,-2.35,,-17.56,,,767.96
CuCap,MM5,187.5,,,W688,8/21/18,,0.70883,0.000006,,,,,,,,,,W836,7/15/2019,,,,0.230,0.0068410,W816,6/7/19,0.2399471,0.008064656,,,,,0.06658,0.6123,,922,10/29/2020,-1.099,0.02232,,,,,,,,,,,,253089.39,360.41,8017.17,469.78,0.65,-3.18,-5.82,27.01,2.77,24.24,139.94,351.28
CuCap,MM6,319,,8/6/19,W688,8/21/18,,0.70665,0.000007,,,,,,,,,,W863_W864_W865,9/16/19,0.11602,0.64417,,0.448,0.0074310,W889,4/10/20,0.47015769,0.007627,,,,,0.05601,0.58042,,986,8/3/2021,-0.550,0.02323,,,,,,,,,,,,301748.39,1787.48,41856.76,31.22,0.06,7.95,-5.26,40.15,30.87,9.28,57.52,42.69
CuCap,MM7,293.4,,8/6/19,W688,8/21/18,,0.70656,0.000006,,,,,,,,,,,,0.40822,0.63094,,,,,,,,,,,,0.05122,0.62468,,953,2/24/2021,-0.712,0.02114,,957,3/18/21,12/29/99,12/30/99,,,,,,,406070.32,718.16,3517.92,22.16,0.06,4.41,-6.09,31.95,32.80,-0.85,,
CuCap,MM8,310.1,,,W688,8/21/18,,0.70666,0.000006,,W942,1/7/21,0.706512,0.000007,,,,,W745,12/12/2018,,,,0.474,0.0079470,,,,,,,,,0.05804,0.58772,,986,8/3/2021,-0.269,0.02051,,,,,,,,,,,,317036.94,1279.95,6334.61,23.00,0.19,7.64,-5.90,46.49,50.45,-3.96,72.89,
CuCap,MM9,228.9,,,W688,8/21/18,,0.70666,0.000006,,,,,,,,,,W836,7/15/2019,,,,0.270,0.0089800,W816,6/7/19,0.2868757,0.00690858,,,,,0.08939,0.55861,,953,2/24/2021,-0.839,0.02234,,957,3/18/21,12/29/99,12/30/99,,,,,,,296959.28,1408.47,45902.75,530.81,6.55,0.13,-3.65,35.16,22.73,12.43,37.13,137.56
CuCap,MM10,289.9,,,W819,6/7/19,,0.70665,0.000006,,W942,1/7/21,0.706658,0.000006,,,,,W745,12/12/18,,,,0.415,0.0074950,,,,,,,,,0.04999,0.59778,,,,,,,,,,,,,,,,,405064.09,730.78,3612.59,30.05,0.20,6.43,-5.59,30.88,31.54,-0.66,31.81,
CuCap,MM11,284.4,,,W744,12/11/18,,0.70645,0.000006,,,,,,,,,,W887,3/16/2020,,,,0.411,0.0083180,,,,,,,,,0.05309,0.59782,,986,8/3/2021,-0.803,0.02314,,,,,,,,,,,,401750.89,929.87,3821.77,63.52,0.04,5.99,-4.17,,31.84,,,
CuCap,MM12,148.1,2/18/20,2/18/20,W881-2,3/1/20,1.01114,0.70877,0.000007,,,,,,,,,,W887,3/16/2020,1.01234,0.62462,,0.342,0.0077010,,,,,,,,,0.15439,0.55793,,922,10/29/2020,-1.139,0.021845,,,,,,,,,,,,124673.21,171.43,8543.84,672.46,5.81,-5.25,-6.19,12.81,0.20,12.61,95.21,1578.90
CuCap,MM13,93,,,W744,12/11/18,,0.71103,0.000006,,,,,,,,,,W816,6/7/2019,0.62962,0.6038,,0.436,0.0065731,,,,,,,,,0.06797,0.59948,,986,8/3/2021,-0.889,0.02524,,,,,,,,,,,,138505.29,315.67,3992.02,807.99,2.30,-8.16,-7.79,14.83,-3.47,18.30,781.33,1470.28
CuCap,MM14,290.9,,8/6/19,W744,12/11/18,,0.70660,0.000007,,,,,,,,,,W836,7/15/2019,0.253,0.62,,0.437,0.0075230,,,,,,,,,0.07089,0.59156,,,,,,,,,,,,,,,,,163437.59,543.98,6493.40,27.81,0.07,5.22,-6.28,,32.07,,,
CuCap,MM15,322.7,,,W744,12/11/18,,0.70667,0.000007,,,,,,,,,,W746,12/15/2018,,,,0.423,0.0078790,,,,,,,,,0.08185,0.60006,,986,8/3/2021,-0.297,0.02168,,,,,,,,,,,,766289.82,1523.09,32744.06,20.39,0.14,8.07,-5.16,41.87,52.04,-10.17,69.37,44.69
CuCap,MM16,345,,,W688,8/21/18,,0.70672,0.000006,,,,,,,,,,W838,7/17/19,,,,0.254,0.0074536,,,,,,,,,0.04049,0.5871,,,,,,,,,,,,,,,,,426785.20,848.21,2449.58,117.48,1.60,1.43,-7.17,23.94,20.58,3.36,112.02,122.37
CuCap,MM17,249,,8/6/19,W744,12/11/18,,0.70650,0.000008,,,,,,,,,,W909,9/14/20,0.11067,0.63799,,0.303,0.0070000,,,,,,,,,0.04588,0.58726,,953,2/24/2021,-0.983,0.02166,,,,,,,,,,,,357991.82,1670.63,47496.95,109.41,0.58,3.35,-3.40,,19.47,,,
CuCap,MM18,82.8,,,W744,12/11/18,,0.71097,0.000008,,,,,,,,,,,,,,,,,,,,,,,,,0.09581,0.59218,,922,10/29/2020,-0.799,0.025113,,,,,,,,,,,,288239.27,343.06,2948.45,695.25,2.53,-7.28,-7.81,8.99,-14.63,23.62,568.39,991.85
CuCap,MM19,176.2,,8/6/19,W688,8/21/18,,0.71118,0.000007,,,,,,,,,,W887,3/16/2020,2.28162,0.63626,,0.263,0.0081670,,,,,,,,,0.06676,0.57353,,,,,,,,,,,,,,,,,118779.70,106.30,5639.54,52.01,7.07,-2.76,-5.25,5.35,-6.41,11.76,62.97,657.22
CuCap,MM20,204.2,,,W744,12/11/18,,0.70672,0.000006,,,,,,,,,,W746,12/15/18,,,,0.332,0.0077550,,,,,,,,,0.05525,0.5722,,947,1/26/2021,-0.927,0.0240662,,,,,,,,,,,,338898.19,1560.35,47327.93,77.20,0.58,-1.51,-4.24,,26.90,,,81.27
CuCap,MM21,326.9,,8/6/19,W744,12/11/18,,0.70667,0.000006,,,,,,,,,,W887,3/16/20,0.05666,0.60202,,0.104,0.0064440,,,,,,,,,0.07708,0.61967,,922,10/29/2020,-0.480,0.019165,,,,,,,,,,,,255057.87,4566.38,43563.54,83.22,0.29,5.06,-4.34,19.93,-1.07,21.00,10.90,
CuCap,MM22,155.2,2/18/20,2/18/20,W766,2/7/19,0.15863,0.70755,0.000006,,W942,1/7/21,0.707455,0.000006,W942,1/7/21,0.707468,0.000008,W909,9/14/20,0.15148,0.63809,,0.410,0.0090000,,,,,,,,,0.0524,0.5806,,,,,,,,,,,,,,,,,289044.79,1164.15,16322.97,1280.87,1.56,-7.29,-7.43,3.72,-4.00,7.72,613.44,1025.27
CuCap,MM23,348.5,,,W744,12/11/18,,0.70689,0.000006,,,,,,,,,,,,,,,,,,,,,,,,,0.0484,0.58567,,922,10/29/2020,-0.341,0.019993,,945,1/17,-0.34074,0.01999,,8/14/02,3/18/21,-0.38602,0.02087,,353468.73,130.42,233.23,108.52,0.13,4.26,-12.34,21.68,-17.60,39.28,331.19,8.93
CuCap,MM24,268.6,2/18/20,8/6/19,W881-2,3/1/20,0.4143,0.70645,0.000007,,,,,,,,,,W912,9/19/20,0.41753,0.56207,,0.360,0.0078090,,,,,,,,,0.09728,0.62059,,948,3/2/2021,-0.964,0.02183,,,,,,,,,,,,417581.68,1146.57,3837.20,64.41,0.09,4.89,-4.52,,29.68,,,
CuCap,MM25,356.5,,8/6/19,W942,1/7/21,,0.70837,0.000007,,,,,,,,,,,,1.26618,0.6012,,,,,,,,,,,,0.09889,0.58282,,,,,,,,,,,,,,,,,236040.34,218.02,304.06,2478.09,1.94,4.55,-12.50,25.04,-19.31,44.35,250.52,695.83
CuCap,MM26,71.3,,8/6/19,W688,8/21/18,,0.71392,0.000007,,,,,,,,,,W887,3/16/20,1.79044,0.61344,,0.197,0.0078780,,,,,,,,,0.14952,0.58906,,,,,,,,,,,,,,,,,82552.37,82.55,12523.14,1668.33,1.06,-7.46,-7.31,7.72,-11.81,19.53,205.48,1441.82
CuCap,MM27,299.6,2/18/20,8/6/19,W688,8/21/18,0.38134,0.70674,0.000007,,W942,1/7/21,0.706745,0.000006,,,,,W890,4/24/2020,0.38103,0.60995,,0.361,0.0073920,< run a dup??,,,,,,,,0.05155,0.57512,,922,10/29/2020,-0.670,0.02157,,945,1/17,12/29/99,12/30/99,,,,,,,405882.43,996.46,13508.36,32.26,0.20,5.13,-6.60,,26.22,,,
CuCap,MM28,144,,7/10/19,W688,8/21/18,,0.70894,0.000006,,,,,,,,,,W838,7/17/2019,1.78613,0.59938,,0.365,0.0073453,,,,,,,,,0.24307,0.60835,,986,8/3/2021,-1.174,0.02173,,,,,,,,,,,,542176.41,254.90,5762.25,624.91,4.28,-6.45,-6.59,-0.48,-1.38,0.90,8286.11,2208.80
CuCap,MM29,296.3,2/18/20,2/18/20,W688,8/21/18,0.47272,0.70671,0.000007,,W942,1/7/21,0.706700,0.000006,,,,,W838,7/17/2019,0.47232,0.60941,,0.398,0.0077487,,,,,,,,,0.0668,0.59396,,,,,,,,,,,,,,,,,435535.69,747.96,7883.33,43.64,0.20,,,,30.90,,,
CuCap,MM30,281.4,,7/10/19,W688,8/21/18,,0.70644,0.000006,,,,,,,,,,W863_W864_W865,9/16/19,0.22846,0.61231,,0.356,0.0077150,,,,,,,,,0.0613,0.60795,,980,7/8/2021,-0.884,0.02272,,,,,,,,,,,,419264.48,1336.42,3341.06,62.25,0.21,6.41,-2.88,32.81,33.03,-0.22,,
CuCap,MM31,254.9,,7/10/19,W688,8/21/18,,0.70655,0.000006,,,,,,,,,,,,0.28094,0.79789,,,,,,,,,,,,0.10704,0.5873,,980,7/8/2021,-1.016,0.01855,,,,,,,,,,,,390377.63,1791.52,17838.13,92.67,2.41,3.81,-4.18,,21.39,,,108.96
CuCap,MM32,286.6,,7/10/19,W688,8/21/18,,0.70655,0.000006,,,,,,,,,,W889,4/10/2020,,,,0.380,0.0075920,,,,,,,,,0.04673,0.59867,,922,10/29/2020,-0.738,0.024619,,,,,,,,,,,,417446.13,1158.46,6051.97,103.12,0.15,4.53,-5.44,25.80,28.47,-2.67,,
CuCap,MM33,191.1,,7/10/19,W978,6/14/21,,0.71010,0.000006,,,,,,,,,,,,,,,,,,,,,,,,,0.05341,0.60509,,986,8/3/2021,-1.124,0.02129,,,,,,,,,,,,102531.47,251.91,7555.69,36.96,0.04,-3.15,-5.98,23.46,-11.81,35.27,94.81,648.31
CuCap,MM34,352.4,,7/10/19,W766,2/7/19,,0.70803,0.000006,,,,,,,,,,W838,7/17/19,0.85226,0.59142,,0.560,0.0066178,,,,,,,,,0.06709,0.57365,,986,8/3/2021,-0.593,0.02115,,,,,,,,,,,,193198.68,3133.48,328.27,366.71,0.61,5.20,-17.08,25.95,-18.66,44.61,165.03,1.87
,Blk-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IAPSO 1 2/13,,,,,,,,,,,,,,,,,,,,0.07719,0.59204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IAPSO 2 2/13,,,,,,,,,,,,,,,,,,,,0.07716,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IAPSO 5 7/8,,,,,,,,,,,,,,,,,,,,0.07691,0.59443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halverson,HP1,303.8,,,,,,0.70644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10,-5.20,,,,,
Halverson,HP2,291.2,,,,,,0.70669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.60,-5.90,,,,,
Halverson,HP3,280.6,,,,,,0.70664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10,-6.60,,,,,
Halverson,HP4,262.5,,,,,,0.70674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40,-2.90,,,,,
Halverson,HP5,208.3,,,,,,0.70663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.20,-2.40,,,,,
Halverson,HP6,204.2,,,,,,0.70666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.50,-4.20,,,,,
CuCap_mili,MM1-A,316.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271230.95,1570.75,8198.24,21.69,0.02,,,,,,,
CuCap_mili,MM1-B,316.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020421.58,597.91,44947.51,43.93,0.11,,,,,,,
CuCap_mili,MM3-A,287.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360944.47,669.03,4228.47,28.06,0.02,,,,,,,
CuCap_mili,MM3-B,287.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345154.24,641.41,3962.55,27.67,0.02,,,,,,,
CuCap_mili,MM5-A,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271229.41,479.80,61181.65,464.74,0.08,,,,,,,
CuCap_mili,MM5-B,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272876.32,477.19,57085.54,457.54,0.08,,,,,,,
CuCap_mili,MM7-A,293.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359206.95,784.34,2966.93,29.71,0.02,,,,,,,
CuCap_mili,MM7-B,293.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365133.10,983.16,3307.62,26.53,0.02,,,,,,,
CuCap_mili,MM9-A,228.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264675.36,1682.92,46053.81,47.67,1.29,,,,,,,
CuCap_mili,MM9-B,228.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255279.61,1752.74,41360.24,46.65,1.09,,,,,,,
CuCap_mili,MM12-A,148.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125144.96,329.25,41524.24,702.43,1.60,,,,,,,
CuCap_mili,MM12-B,148.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116148.12,306.10,39644.30,683.75,1.72,,,,,,,
CuCap_mili,MM13-A,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185045.79,259.48,20698.67,727.52,1.17,,,,,,,
CuCap_mili,MM13-B,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213293.89,294.15,11863.44,736.36,0.65,,,,,,,
CuCap_mili,MM16-A,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355956.36,184.78,1488.98,102.20,0.02,,,,,,,
